,index,Class,Text
832,22970,Books,"The Kingdom of Copper: A Novel (The Daevabad Trilogy) Review “The second installment of Chakraborty’s stunningly rendered Middle Eastern fantasy trilogy...As good or better than its predecessor: promise impressively fulfilled.” (Kirkus Reviews (starred review))“Chakraborty plunges right back into the action set up in The City of Brass [...] This intriguing fantasy series appears to be well on its way to an exciting conclusion.” (Publishers Weekly (starred review))“With gorgeous world building, compelling characters, and clashing schemes, the second in Chakraborty’s Daevabad trilogy will thrill her many fans.” (Booklist (starred review))“With a richly immersive setting and featuring complex familial, religious, and racial ties and divides, Chakraborty’s second book in the trilogy wraps readers in a lush and magical story that takes over all the senses.” (Library Journal (starred review))“Chakraborty manages what many epic fantasy writers have never achieved: a world where everyone can see themselves not only mirrored, but powerful.” (New York Journal of Books)“[The of Copper] is epic fantasy that is shrunk to the perspective of the individual. If you’re looking for a compelling, heart-rending drama that just happens to also be one of the most thought-provoking epic fantasies to come out in a long time, look no further.” (BookPage)“It was a treat to return to Chakraborty’s richly drawn world. [...] engaging, satisfying, and left me looking forward to what comes next.” (The Speculative Shelf) 				    	 					 About the Author S. A. CHAKRABORTY is a speculative fiction writer from New York City. Her debut, The City of Brass, was the first book in the Daevabad trilogy. You can find her online at www.sachakraborty.com or on Twitter @SAChakrabooks."
833,23067,Books,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and the Middle Class Do Not! About the Author Robert T. Kiyosaki is an investor, teacher, entrepreneur, and bestselling author. His books include Cashflow Quadrant, Rich Dad's Guide to Investing, Rich Dad Poor Dad for Teens, Rich Dad's Retire Young Retire Rich, and Increase Your Financial IQ. Robert lives in Phoenix, Arizona."
834,23073,Books,"The 7 Habits of Highly Effective People: Powerful Lessons in Person Chage About the Author Recognized as one of Time magazine's 25 most influential Americans, Stephen R. Covey was one of the world's foremost leadership authorities, organizational experts, and thought leaders. Covey was the author of acclaimed books, including the international bestseller, The 7 Habits of Highly Effective People, which has sold more than 25 million copies in 40 languages throughout the world. Other bestsellers authored by Covey include First Things First, Principle-Centered Leadership, The 7 Habits of Highly Effective Families, and The 8th Habit: From Effectiveness to Greatness."
835,23254,Books,Siddhartha 
836,23290,Books,"Old Path White Clouds: Walking in the Footsteps of the Buddha About the Author Thich Nhat Hanh is a Vietnamese Buddhist monk. His life - long efforts to generate peace and reconciliation moved Martin Luther King Jr. to nominate him for the Nobel Peace Prize in 1967. He is the founder of Van Hanh Buddhist University in Saigon and has taught at Columbia University and the Sorbonne. He is the author of Being Peace, Under the Banyan Tree, The Path of Emancipation and 85 other books. ""I have not avoided including the various difficulties the Buddha encountered, both from his own disciples and in relation to the wider society. If the Buddha appears in this book as a man close to us, it is partly due to recounting such difficulties."" - from the Author's Afterword"
837,23293,Books,"Siddhartha (General Press) About the Author When out of office, he is mostly chasing his dream of creating an impact in the world. He has a strong belief that, writing and storytelling, if understood properly, can act as a very powerful tool for budding engineers, managers and entrepreneurs of India. An Ex-speaker at IIMs and IITs, he has conducted various highly interactive events and seminars on 'How to Lead with a Story' and 'The Art of Storytelling' in colleges across India."
838,23339,Books,Copy Colour: Fruits (Copy Colour Books) 
839,23354,Books,"Crafts Atlas of India Review The result of 11 years of hard work, this mammoth, well-researched book speaks to India's rich history and its unique tapestry of myriad cultures ... It is a trove for all interested in the rich, diverse Indian arts and crafts heritage. Summing up: Highly recommended. --CHOICEThis book offers abundant information, examples, and background on Indian crafts which are reflected in the varied Indian auction items and which will themselves become of more interest to collectors and dealers.--Henry Berry, Reviewer's Bookwatch ""Midwest Book Review, December 2013 "" 				    	 					 About the Author Jaya Jaitly belongs to Kerala, and graduated in English Literature from Smith College in Northampton, Massachusetts, USA. She is the Founder-President of the Dastkari Haat Samiti, a nationwide association of craftspeople. It trains, promotes and organises its members for better marketing through many innovative strategies."
840,23388,Books,"GOLF Box Set About the Author The author of almost a hundred books and the creator of Jeeves, Blandings Castle, Psmith, Ukridge, Uncle Fred and Mr Mulliner, P.G. Wodehouse was born in 1881 and educated at Dulwich College. After two years with the Hong Kong and Shanghai Bank he became a full-time writer, contributing to a variety of periodicals including Punch and the Globe. He married in 1914. As well as his novels and short stories, he wrote lyrics for musical comedies with Guy Bolton and Jerome Kern, and at one stage had five musicals running simultaneously on Broadway. His time in Hollywood also provided much source material for fiction."
841,23441,Books,"Man's Search for Meaning Review One of the great books of our time. —Harold S. Kushner, author of When Bad Things Happen to Good People""One of the outstanding contributions to psychological thought in the last fifty years.""—Carl R. Rogers (1959)""An enduring work of survival literature."" —New York Times""An accessible edition of the enduring classic. The spiritual account of the Holocaust and the description of logotherapy meets generations' need for hope.""—Donna O. Dziedzic (PLA) AAUP Best of the Best Program 				    	 					 About the Author Viktor E. Frankl was professor of neurology and psychiatry at the University of Vienna Medical School until his death in 1997. His twenty-nine books have been translated into twenty-one languages. During World War II, he spent three years in Auschwitz, Dachau, and other concentration camps.Harold S. Kushner is rabbi emeritus at Temple Israel in Natick, Massachusetts, and the author of bestselling books including When Bad Things Happen to Good People, Living a Life That Matters, and When All You’ve Ever Wanted Isn’t Enough.William J. Winslade is a philosopher, lawyer, and psychoanalyst who teaches psychiatry, medical ethics, and medical jurisprudence at the University of Texas Medical School in Galveston."
